Composition: 65% KNO3 / 35% sugar | r=6.29 mol | K2CO3 yield = 44.4 wt% | dTad = 1300 K | Tad = 1598 K
step   time[s]  Tmax[K]  Tvent[K]  K2CO3[kg]  Uvent[m/s]  meanYfu  SMAX
  253    0.253   1497.1   1245.3  7.507e-05  7.134e-01  0.8686  2.95e-07
  254    0.254   1496.2   1244.4  7.557e-05  7.182e-01  0.8678  3.49e-07
  255    0.255   1495.5   1243.4  7.620e-05  7.253e-01  0.8668  3.72e-07
  256    0.256   1495.2   1242.4  7.684e-05  7.320e-01  0.8658  4.53e-07
  257    0.257   1495.4   1241.5  7.743e-05  7.376e-01  0.8649  4.96e-07
  258    0.258   1498.6   1240.6  7.797e-05  7.424e-01  0.8640  4.96e-07
  259    0.259   1504.3   1239.6  7.838e-05  7.442e-01  0.8632  4.70e-07
  260    0.260   1508.0   1238.7  7.869e-05  7.445e-01  0.8625  3.67e-07
  261    0.261   1509.9   1237.8  7.901e-05  7.449e-01  0.8618  2.47e-07
  262    0.262   1510.5   1236.8  7.939e-05  7.459e-01  0.8610  1.71e-07
  263    0.263   1514.5   1235.9  7.967e-05  7.445e-01  0.8604  1.32e-07
  264    0.264   1518.4   1235.0  7.992e-05  7.429e-01  0.8597  3.85e-08
  265    0.265   1519.0   1234.1  8.024e-05  7.424e-01  0.8591  4.79e-08
  266    0.266   1517.6   1233.2  8.057e-05  7.418e-01  0.8584  6.58e-08
  267    0.267   1516.1   1232.3  8.096e-05  7.421e-01  0.8576  8.27e-08
  268    0.268   1514.0   1231.4  8.137e-05  7.420e-01  0.8569  6.56e-08
  269    0.269   1513.0   1230.5  8.163e-05  7.391e-01  0.8563  6.61e-08
  270    0.270   1512.9   1229.6  8.179e-05  7.346e-01  0.8557  1.49e-07
  271    0.271   1512.8   1228.7  8.191e-05  7.296e-01  0.8553  2.51e-07
  272    0.272   1512.5   1227.8  8.201e-05  7.244e-01  0.8548  3.41e-07
  273    0.273   1512.0   1226.9  8.212e-05  7.195e-01  0.8544  4.07e-07
  274    0.274   1512.1   1226.0  8.227e-05  7.156e-01  0.8539  4.42e-07
  275    0.275   1512.1   1225.2  8.252e-05  7.135e-01  0.8534  4.39e-07
  276    0.276   1511.7   1224.3  8.293e-05  7.145e-01  0.8527  3.84e-07
  277    0.277   1511.0   1223.4  8.360e-05  7.192e-01  0.8518  2.53e-07
  278    0.278   1510.2   1222.5  8.412e-05  7.208e-01  0.8510  5.22e-08
  279    0.279   1509.3   1221.7  8.450e-05  7.205e-01  0.8503  9.19e-09
  280    0.280   1509.4   1220.8  8.481e-05  7.200e-01  0.8496  2.71e-08
  281    0.281   1509.7   1220.0  8.514e-05  7.204e-01  0.8490  4.94e-08
  282    0.282   1509.7   1219.1  8.559e-05  7.229e-01  0.8482  3.82e-08
  283    0.283   1509.5   1218.2  8.610e-05  7.265e-01  0.8474  3.88e-08
  284    0.284   1509.1   1217.4  8.661e-05  7.300e-01  0.8466  1.19e-07
